 ~-~-~HERD IMMUNITY SIMULATION~-~-~
Person #8461 died. 
Person #9546 survived. 
Person #8418 died. 
Person #8691 survived. 
Person #8725 died. 
Person #7955 survived. 
Person #9954 died. 
Person #8225 survived. 
Person #9778 died. 
Person #8578 died. 
Person #9692 died. 
Person #9076 died. 
Person #7926 survived. 
Person #9564 died. 
Person #9263 died. 
Person #9149 died. 
Person #9133 died. 
Person #9882 died. 
Person #9892 died. 
Person #8713 survived. 
Person #8185 died. 
Person #9639 died. 
Person #9013 died. 
Person #8996 died. 
Person #9119 survived. 
Person #9471 died. 
Person #8853 survived. 
Person #8148 died. 
Person #9224 survived. 
Person #9573 survived. 
Person #9352 died. 
Person #9506 survived. 
Person #9500 died. 
Person #9397 died. 
Person #7950 died. 
Person #8948 survived. 
Person #8130 died. 
Person #9316 died. 
Person #8019 survived. 
Person #8967 died. 
Person #8671 died. 
Person #9016 died. 
Person #9864 survived. 
Person #9388 died. 
Person #9910 died. 
Person #9721 survived. 
Person #8802 survived. 
Person #8427 died. 
Person #8073 died. 
Person #8268 died. 
Person #9769 died. 
Person #9675 died. 
Person #9545 died. 
Person #8261 survived. 
Person #8062 died. 
Person #8310 died. 
Person #8830 died. 
Person #9913 died. 
Person #8614 died. 
Person #9634 died. 
Person #9883 died. 
Person #8347 died. 
Person #8655 died. 
Person #8308 died. 
Person #8147 survived. 
Person #8023 died. 
Person #8163 died. 
Person #8275 survived. 
Person #9866 survived. 
Person #9868 died. 
Person #8598 died. 
Person #7929 died. 
Person #9106 died. 
Person #9597 died. 
Person #9185 died. 
Person #9347 survived. 
Person #9782 survived. 
Person #8702 died. 
Person #8508 survived. 
Person #9859 died. 
Person #9371 died. 
Person #9849 died. 
Person #9071 died. 
Person #9605 died. 
Person #8001 survived. 
Person #9871 died. 
Person #8161 died. 
Person #8095 survived. 
Person #9582 died. 
Person #9793 died. 
Person #8352 survived. 
Person #9817 died. 
Person #9847 died. 
Person #8447 survived. 
Person #8408 survived. 
Person #8114 survived. 
Person #9205 died. 
Person #8551 survived. 
Person #9284 died. 
Person #9183 died. 
Person #8143 died. 
Person #8138 died. 
Person #8982 survived. 
Person #8592 died. 
Person #8355 died. 
Person #8793 died. 
Person #9182 survived. 
Person #9104 died. 
Person #8722 died. 
Person #8081 died. 
Person #9469 survived. 
Person #9900 survived. 
Person #8164 died. 
Person #9603 survived. 
Person #8784 died. 
Person #9822 survived. 
Person #9262 died. 
Person #9602 died. 
Person #9593 died. 
Person #8126 died. 
Person #9358 died. 
Person #8100 survived. 
Person #8397 survived. 
Person #9918 died. 
Person #7927 survived. 
Person #7918 died. 
Person #8249 died. 
Person #9112 died. 
Person #8847 survived. 
Person #9566 survived. 
Person #8999 died. 
Person #9322 died. 
Person #9758 died. 
Person #9942 died. 
Person #8277 died. 
Person #9664 died. 
Person #8901 survived. 
Person #9201 died. 
Person #8499 died. 
Person #9841 survived. 
Person #8144 died. 
Person #9784 survived. 
Person #8226 died. 
Person #8168 died. 
Person #9410 died. 
Person #9931 died. 
Person #8975 died. 
Person #8377 died. 
Person #9907 died. 
Person #9354 died. 
Person #9633 died. 
Person #8593 survived. 
Person #8035 died. 
Person #8518 died. 
Person #8590 died. 
Person #8747 died. 
Person #8783 died. 
Person #9559 survived. 
Person #9195 survived. 
Person #8568 survived. 
Person #9519 survived. 
Person #8609 died. 
Person #9189 survived. 
Person #9218 survived. 
Person #9413 survived. 
Person #9117 died. 
Person #8861 died. 
Person #9176 died. 
Person #8563 died. 
Person #9991 survived. 
Person #8489 died. 
Person #9321 survived. 
Person #8667 survived. 
Person #9863 survived. 
Person #8079 survived. 
Person #9452 died. 
Person #8866 died. 
Person #9718 died. 
Person #9044 died. 
Person #8230 died. 
Person #9657 died. 
Person #9787 survived. 
Person #8441 died. 
Person #9839 died. 
Person #8585 died. 
Person #9681 survived. 
Person #9792 died. 
Person #8658 survived. 
Person #8082 survived. 
Person #9595 survived. 
Person #9415 survived. 
Person #9306 survived. 
Person #8333 died. 
Person #9167 died. 
Person #8423 survived. 
Person #9599 died. 
Person #8151 survived. 
Person #9773 died. 
Person #9741 died. 
Person #9343 died. 
Person #9101 died. 
Person #8064 survived. 
Person #8234 died. 
Person #9520 survived. 
Person #9922 survived. 
Person #8657 died. 
Person #9836 survived. 
Person #8724 survived. 
Person #9536 died. 
Person #7913 died. 
Person #7897 died. 
Person #9485 died. 
Person #8285 died. 
Person #9988 died. 
Person #8651 died. 
Person #8266 died. 
Person #9251 died. 
Person #9039 survived. 
Person #9671 died. 
Person #7985 survived. 
Person #8291 died. 
Person #8744 died. 
Person #9750 died. 
Person #8027 died. 
Person #8369 died. 
Person #9984 survived. 
Person #9042 survived. 
Person #9909 died. 
Person #7890 survived. 
Person #7936 survived. 
Person #8914 died. 
Person #8633 died. 
Person #8384 survived. 
Person #8270 died. 
Person #9490 died. 
Person #9164 survived. 
Person #9708 died. 
Person #9260 survived. 
Person #9964 died. 
Person #8253 died. 
Person #8424 died. 
Person #9454 died. 
Person #9345 survived. 
Person #8365 died. 
Person #8012 died. 
Person #9976 survived. 
Person #9056 survived. 
Person #8314 died. 
Person #8278 survived. 
Person #9548 died. 
Person #7915 died. 
Person #9080 survived. 
Person #7914 survived. 
Person #8780 survived. 
Person #9996 survived. 
Person #8242 died. 
Person #8006 survived. 
Person #8886 died. 
Person #8269 survived. 
Person #8672 died. 
Person #7998 survived. 
Person #9084 survived. 
Person #8063 died. 
Person #9875 survived. 
Person #8456 survived. 
Person #7986 survived. 
Person #9027 died. 
Person #8797 died. 
Person #8156 died. 
Person #9561 died. 
Person #8222 survived. 
Person #9300 died. 
Person #8123 died. 
Person #9289 died. 
Person #8893 died. 
Person #8875 survived. 
Person #9048 died. 
Person #9178 died. 
Person #9549 died. 
Person #9439 died. 
Person #8623 died. 
Person #8376 died. 
Person #8131 survived. 
Person #9886 died. 
Person #9441 died. 
Person #8216 died. 
Person #9508 died. 
Person #9337 survived. 
Person #8279 died. 
Person #8169 survived. 
Person #9691 died. 
Person #8562 died. 
Person #9748 died. 
Person #8855 survived. 
Person #9924 survived. 
Person #9668 survived. 
Person #9110 died. 
Person #9939 died. 
Person #8545 died. 
Person #8828 died. 
Person #9395 survived. 
Person #8692 survived. 
Person #9158 survived. 
Person #8947 survived. 
Person #8103 survived. 
Person #7976 died. 
Person #8937 died. 
Person #9906 died. 
Person #8490 died. 
Person #9293 survived. 
Person #8723 died. 
Person #8806 died. 
Person #9946 died. 
Person #8142 died. 
Person #9053 died. 
Person #9950 died. 
Person #8065 survived. 
Person #8399 died. 
Person #8646 survived. 
Person #9383 died. 
Person #8832 survived. 
Person #8111 survived. 
Person #9925 died. 
Person #9646 died. 
Person #9279 died. 
Person #9271 died. 
Person #9929 survived. 
Person #9356 died. 
Person #9724 died. 
Person #8243 survived. 
Person #9429 survived. 
Person #7919 died. 
Person #8429 survived. 
Person #8678 died. 
Person #9813 died. 
Person #8796 survived. 
Person #8455 died. 
Person #9539 died. 
Person #9752 survived. 
Person #9459 died. 
Person #8589 died. 
Person #9643 survived. 
Person #9431 survived. 
Person #9552 died. 
Person #9219 survived. 
Person #9959 died. 
Person #8818 died. 
Person #8921 survived. 
Person #8298 died. 
Person #8703 died. 
Person #9761 died. 
Person #9879 died. 
Person #7893 died. 
Person #8174 survived. 
Person #8102 died. 
Person #9600 died. 
Person #9659 survived. 
Person #8644 died. 
Person #9626 survived. 
Person #9021 died. 
Person #8648 survived. 
Person #9502 died. 
Person #9166 died. 
Person #8607 survived. 
Person #8540 survived. 
Person #8367 died. 
Person #8697 died. 
Person #8876 died. 
Person #8649 survived. 
Person #9385 died. 
Person #7980 survived. 
Person #9967 survived. 
Person #9442 survived. 
Person #9022 died. 
Person #9890 died. 
Person #8665 died. 
Person #8311 survived. 
Person #9069 died. 
Person #9715 survived. 
Person #8782 survived. 
Person #9436 died. 
Person #8435 died. 
Person #8877 died. 
Person #9683 survived. 
Person #8084 died. 
Person #7994 died. 
Person #8973 survived. 
Person #9554 died. 
Person #8992 survived. 
Person #8137 survived. 
Person #9501 died. 
Person #8505 died. 
Person #8379 died. 
Person #8627 survived. 
Person #9874 died. 
Person #8753 died. 
Person #9514 survived. 
Person #8856 died. 
Person #9650 died. 
Person #8807 died. 
Person #9407 died. 
Person #8619 died. 
Person #7995 died. 
Person #9124 died. 
Person #9624 died. 
Person #9063 survived. 
Person #9444 died. 
Person #9919 died. 
Person #9631 survived. 
Person #9878 died. 
Person #9336 died. 
Person #8726 survived. 
Person #9139 died. 
Person #9408 died. 
Person #8086 survived. 
Person #9574 survived. 
Person #9390 died. 
Person #7909 died. 
Person #8089 survived. 
Person #8076 survived. 
Person #8653 survived. 
Person #7896 survived. 
Person #7964 died. 
Person #9533 survived. 
Person #8642 survived. 
Person #9716 died. 
Person #8471 survived. 
Person #9928 died. 
Person #8763 died. 
Person #7948 died. 
Person #9464 died. 
Person #8762 died. 
Person #10000 survived. 
Person #9509 died. 
Person #8833 died. 
Person #8299 survived. 
Person #9168 died. 
Person #8247 died. 
Person #9472 survived. 
Person #9220 died. 
Person #9825 died. 
Person #8009 died. 
Person #8741 died. 
Person #8620 died. 
Person #9273 died. 
Person #9247 died. 
Person #8183 died. 
Person #8791 survived. 
Person #8121 survived. 
Person #9727 survived. 
Person #9754 survived. 
Person #9809 died. 
Person #9532 survived. 
Person #8092 died. 
Person #8409 died. 
Person #9447 died. 
Person #8829 died. 
Person #8363 died. 
Person #9475 died. 
Person #9267 died. 
Person #8582 died. 
Person #7990 died. 
Person #9880 died. 
Person #9339 survived. 
Person #8351 died. 
Person #8836 died. 
Person #8500 died. 
Person #8202 survived. 
Person #8132 died. 
Person #9212 died. 
Person #9380 survived. 
Person #7941 died. 
Person #9861 survived. 
Person #8528 survived. 
Person #9304 died. 
Person #8502 survived. 
Person #9214 survived. 
Person #9680 died. 
Person #8154 died. 
Person #9075 died. 
Person #9491 died. 
Person #9503 died. 
Person #8945 died. 
Person #9568 survived. 
Person #9915 survived. 
Person #9328 survived. 
Person #9565 died. 
Person #7970 survived. 
Person #8488 died. 
Person #9740 died. 
Person #8171 survived. 
Person #9730 died. 
Person #9177 survived. 
Person #8322 died. 
Person #8863 died. 
Person #8605 died. 
Person #8719 died. 
Person #8909 died. 
Person #8777 died. 
Person #9757 survived. 
Person #9735 survived. 
Person #8986 survived. 
Person #9625 survived. 
Person #9481 died. 
Person #8569 died. 
Person #8639 died. 
Person #9141 survived. 
Person #8422 died. 
Person #9558 survived. 
Person #9723 died. 
Person #9125 survived. 
Person #7967 died. 
Person #9268 survived. 
Person #8908 survived. 
Person #9344 survived. 
Person #8993 died. 
Person #9791 died. 
Person #9831 died. 
Person #8265 died. 
Person #8774 died. 
Person #8950 survived. 
Person #8194 died. 
Person #8187 died. 
Person #9423 died. 
Person #8844 died. 
Person #8720 died. 
Person #7928 survived. 
Person #9458 died. 
Person #8963 survived. 
Person #9943 died. 
Person #9140 survived. 
Person #9512 died. 
Person #8523 died. 
Person #9113 survived. 
Person #8910 survived. 
Person #9200 died. 
Person #9103 died. 
Person #9896 survived. 
Person #8537 died. 
Person #9146 died. 
Person #8813 died. 
Person #9114 died. 
Person #9589 survived. 
Person #8553 died. 
Person #8390 died. 
Person #9527 died. 
Person #8304 died. 
Person #8477 died. 
Person #9261 survived. 
Person #9278 survived. 
Person #8288 died. 
Person #8479 died. 
Person #9765 died. 
Person #8228 died. 
Person #8889 survived. 
Person #9420 died. 
Person #9720 survived. 
Person #9060 died. 
Person #9802 died. 
Person #9635 survived. 
Person #9272 died. 
Person #9893 survived. 
Person #9660 survived. 
Person #9137 survived. 
Person #8244 survived. 
Person #9986 died. 
Person #9378 survived. 
Person #8715 died. 
Person #9540 died. 
Person #8167 died. 
Person #9128 died. 
Person #9700 survived. 
Person #9985 survived. 
Person #9030 died. 
Person #8328 survived. 
Person #8224 survived. 
Person #8450 survived. 
Person #9440 survived. 
Person #8816 survived. 
Person #9320 survived. 
Person #8650 died. 
Person #9594 survived. 
Person #9581 died. 
Person #8750 survived. 
Person #8654 died. 
Person #7917 died. 
Person #8596 survived. 
Person #9824 died. 
Person #8211 died. 
Person #9665 survived. 
Person #8746 died. 
Person #9202 died. 
Person #8931 died. 
Person #9801 died. 
Person #8749 died. 
~~Step 2~~
 Newly infected: 276
 New deaths: 854
 Amount alive: 8734
 Amount vaccinated: 8454
 Amount dead: 1266
Time step 2 ended, beginning 3
~~~
Person #8898 survived. 
Person #8395 survived. 
Person #9226 survived. 
Person #8881 died. 
Person #8792 died. 
Person #8865 died. 
Person #9296 survived. 
Person #9368 survived. 
Person #8468 died. 
Person #9313 died. 
Person #8979 died. 
Person #9041 survived. 
Person #8336 died. 
Person #8306 died. 
Person #8740 died. 
Person #8972 survived. 
Person #8799 survived. 
Person #9430 died. 
Person #8978 died. 
Person #8494 died. 
Person #8198 died. 
Person #9036 died. 
Person #9077 died. 
Person #9551 died. 
Person #9830 survived. 
Person #9591 survived. 
Person #9463 survived. 
Person #9434 survived. 
Person #8421 died. 
Person #9462 died. 
Person #9330 survived. 
Person #9903 died. 
Person #8823 survived. 
Person #8281 died. 
Person #8000 survived. 
Person #9726 died. 
Person #9418 died. 
Person #8110 died. 
Person #8683 survived. 
Person #9446 died. 
Person #9165 died. 
Person #7910 died. 
Person #9291 died. 
Person #8690 died. 
Person #9035 died. 
Person #8239 survived. 
Person #7969 died. 
Person #8662 died. 
Person #9495 died. 
Person #8255 died. 
Person #9026 died. 
Person #8504 died. 
Person #9132 died. 
Person #9732 died. 
Person #9952 died. 
Person #9389 survived. 
Person #8088 died. 
Person #9803 survived. 
Person #9957 died. 
Person #8146 died. 
Person #8698 died. 
Person #8544 survived. 
Person #8600 survived. 
Person #9653 survived. 
Person #9556 survived. 
Person #8566 survived. 
Person #8307 died. 
Person #9638 died. 
Person #8849 survived. 
Person #8964 died. 
Person #8736 died. 
Person #8814 died. 
Person #8150 survived. 
Person #8789 died. 
Person #9085 survived. 
Person #9335 survived. 
Person #9779 died. 
Person #7999 died. 
Person #8262 survived. 
Person #9361 died. 
Person #8330 died. 
Person #8701 died. 
Person #9719 died. 
Person #8044 survived. 
Person #8932 died. 
Person #8498 died. 
Person #9567 died. 
Person #8059 died. 
Person #8034 died. 
Person #9944 died. 
Person #9156 died. 
Person #9515 died. 
Person #8516 died. 
Person #9662 survived. 
Person #8128 died. 
Person #9467 survived. 
Person #8587 survived. 
Person #8067 survived. 
Person #9109 survived. 
Person #8960 died. 
Person #9498 died. 
Person #9525 died. 
Person #8297 died. 
Person #8238 survived. 
Person #8905 died. 
Person #9993 died. 
Person #9576 died. 
Person #8231 died. 
Person #8099 died. 
Person #9891 survived. 
Person #7978 survived. 
Person #8098 died. 
Person #9856 died. 
Person #8531 died. 
Person #9777 died. 
Person #9142 died. 
Person #7953 died. 
Person #9206 died. 
Person #8109 died. 
Person #8850 survived. 
Person #9627 survived. 
Person #9734 died. 
Person #9666 died. 
Person #8117 died. 
Person #8428 survived. 
Person #9192 died. 
Person #8714 died. 
Person #9630 died. 
Person #8637 survived. 
Person #8420 died. 
Person #8915 survived. 
Person #8969 died. 
Person #8083 died. 
Person #8339 survived. 
Person #8933 died. 
Person #9198 died. 
Person #9281 survived. 
Person #8615 died. 
Person #7992 died. 
Person #9759 died. 
Person #8393 died. 
Person #9162 died. 
Person #7963 died. 
Person #9798 survived. 
Person #9457 died. 
Person #8058 survived. 
Person #8878 died. 
Person #9269 survived. 
Person #9376 died. 
Person #8535 died. 
Person #8028 died. 
Person #9351 survived. 
Person #7888 died. 
Person #8916 died. 
Person #9428 survived. 
Person #9384 died. 
Person #9382 survived. 
Person #9616 died. 
Person #8199 died. 
Person #9163 survived. 
Person #8004 died. 
Person #9290 died. 
Person #8929 survived. 
Person #8888 survived. 
Person #9329 died. 
Person #9992 survived. 
Person #8891 survived. 
Person #8383 died. 
Person #8191 survived. 
Person #8599 died. 
Person #9768 died. 
Person #9238 survived. 
Person #9242 died. 
Person #8251 died. 
Person #7903 died. 
Person #8362 died. 
Person #9024 died. 
Person #9223 died. 
Person #9935 survived. 
Person #8221 survived. 
Person #9711 died. 
Person #8617 died. 
Person #9421 survived. 
Person #8452 died. 
Person #9496 died. 
Person #8431 died. 
Person #8621 died. 
Person #8706 died. 
Person #8636 died. 
Person #9277 died. 
Person #8911 survived. 
Person #9611 died. 
Person #9055 died. 
Person #8894 died. 
Person #9116 died. 
Person #8594 died. 
Person #9301 survived. 
Person #8049 died. 
Person #8631 died. 
Person #9528 died. 
Person #8988 died. 
Person #8106 died. 
Person #8677 survived. 
Person #9869 died. 
Person #9151 died. 
Person #9562 died. 
Person #8895 survived. 
Person #7940 died. 
Person #8016 survived. 
Person #8060 died. 
Person #7934 died. 
Person #8394 died. 
Person #9751 died. 
Person #8416 died. 
Person #8259 survived. 
Person #8514 died. 
Person #9677 survived. 
Person #8289 survived. 
Person #8025 survived. 
Person #8256 died. 
Person #9194 died. 
Person #7921 died. 
Person #9386 died. 
Person #9465 died. 
Person #9221 survived. 
Person #9894 survived. 
Person #8263 died. 
Person #9570 survived. 
Person #9148 died. 
Person #9193 died. 
Person #9285 died. 
Person #8133 died. 
Person #8555 survived. 
Person #9930 died. 
Person #8437 died. 
Person #8733 survived. 
Person #8254 died. 
Person #8207 died. 
Person #8200 survived. 
Person #8664 survived. 
Person #8643 survived. 
Person #9989 survived. 
Person #8622 died. 
Person #8464 died. 
Person #8846 survived. 
Person #8827 died. 
Person #9338 died. 
Person #8301 survived. 
Person #9393 survived. 
Person #8737 survived. 
Person #9766 died. 
Person #9542 died. 
Person #9884 survived. 
Person #9710 died. 
Person #8616 died. 
Person #9781 survived. 
Person #9350 died. 
Person #9123 died. 
Person #9308 survived. 
Person #9806 survived. 
Person #9955 died. 
Person #8002 died. 
Person #9517 survived. 
Person #9237 died. 
Person #8520 died. 
Person #9414 died. 
Person #7938 died. 
Person #8695 died. 
Person #9897 survived. 
Person #8595 died. 
Person #8366 died. 
Person #9265 died. 
Person #9654 survived. 
Person #8608 died. 
Person #8955 died. 
Person #9033 survived. 
~~Step 3~~
 Newly infected: 2
 New deaths: 185
 Amount alive: 8549
 Amount vaccinated: 8545
 Amount dead: 1451
Time step 3 ended, beginning 4
~~~
Person #8160 survived. 
Person #9760 died. 
~~Step 4~~
 Newly infected: 0
 New deaths: 1
 Amount alive: 8548
 Amount vaccinated: 8546
 Amount dead: 1452
Time step 4 ended, beginning 5
~~~

~ Summary of Simulation ~ 
Amount living: 8548
Amount dead: 1452
Amount of vaccinations: 8546
Total number of interactions: 219800
Number vaxxed after interacting: 746
Number dead after interacting: 1452
